属性,地域,年龄,身高,体重,BMI指数,标签
2,1,23,175,65,0.00212244897959184,匀称
4,3,28,175,65,0.00212244897959184,匀称、腹黑、爷们、阳光、帝王攻
2,999,20,171,51,0.00174412639786601,猴子
2,2,24,170,60,0.00207612456747405,匀称、闷骚
1,1,31,179,72,0.00224712087637714,肌肉、暖男、闷骚、阳光
4,1,35,178,70,0.00220931700542861,匀称、暖男、爷们、大叔
4,1,28,179,71,0.00221591086420524,肌肉、闷骚、爷们
4,999,30,173,62,0.00207156938086805,匀称、阳光、大叔、暖男、爷们
1,3,27,175,65,0.00212244897959184,999
4,1,54,178,70,0.00220931700542861,匀称、大叔、忠犬攻、暖男
3,1,43,174,68,0.00224600343506408,匀称、大叔
4,3,26,172,60,0.00202812330989724,匀称
4,1,31,171,70,0.00239389897746315,匀称
1,3,26,169,61,0.00213577955953923,匀称
3,3,35,170,73,0.00252595155709343,匀称、爷们、阳光、小清新
3,1,18,182,74,0.00223402970655718,匀称、天然呆、腹黑、阳光
4,3,29,170,62,0.00214532871972318,999
4,3,29,170,62,0.00214532871972318,匀称
2,1,22,178,62,0.00195682363337962,999
2,1,19,178,67,0.00211463199091024,匀称、阳光
2,2,36,174,64,0.00211388558594266,999
1,1,25,170,53,0.00183391003460208,999
2,1,28,173,68,0.00227204383708109,匀称、暖男、爷们、阳光
3,2,17,169,43,0.00150554952557684,匀称
4,3,23,177,68,0.00217051294327939,999
2,1,27,170,65,0.00224913494809689,匀称
4,1,30,175,70,0.00228571428571429,匀称、闷骚、爷们
3,2,24,172,58,0.00196051919956733,匀称、小清新、暖男、闷骚
1,999,23,180,68,0.00209876543209877,999
2,2,33,173,68,0.00227204383708109,999
2,3,25,175,68,0.00222040816326531,匀称、闷骚
2,3,30,176,80,0.00258264462809917,熊、大叔
1,3,19,170,49,0.00169550173010381,阳光、暖男
3,1,30,180,95,0.0029320987654321,熊、天然呆、闷骚
1,1,28,176,62,0.00200154958677686,999
2,3,30,165,60,0.00220385674931129,匀称、暖男
1,2,36,175,75,0.00244897959183673,匀称、爷们、阳光、大叔、暖男
3,1,23,173,70,0.00233886865581877,匀称、爷们
3,2,31,176,66,0.00213068181818182,匀称、女王受
2,1,23,180,60,0.00185185185185185,匀称、腹黑、天然呆、小清新
2,3,20,178,67,0.00211463199091024,匀称
2,1,30,175,65,0.00212244897959184,匀称、爷们、大叔、闷骚、阳光
1,2,26,180,65,0.00200617283950617,匀称、爷们、暖男、阳光
4,2,19,180,55,0.00169753086419753,猴子、天然呆、阳光、小清新
3,3,19,169,60,0.00210076677987465,匀称、天然呆
1,3,36,173,65,0.00217180660897457,匀称、爷们、阳光
3,3,19,173,63,0.00210498179023689,匀称、暖男
2,2,25,170,53,0.00183391003460208,肌肉
2,2,18,165,50,0.00183654729109275,匀称、阳光、天然呆、小清新、暖男
4,2,21,171,67,0.00229130330700044,999
3,1,24,181,62,0.00189249412411099,999
4,2,19,177,55,0.00175556193941715,999
4,2,30,175,55,0.00179591836734694,猴子、大叔
2,3,37,178,80,0.00252493372048984,匀称、暖男
4,3,54,170,73,0.00252595155709343,匀称、爷们、大叔
1,2,32,165,65,0.00238751147842057,匀称
2,2,51,168,50,0.00177154195011338,猴子、大叔
1,2,31,174,67,0.00221297397278372,匀称、大叔、爷们、阳光
1,1,29,178,68,0.00214619366241636,匀称、爷们、暖男、帝王攻
3,3,20,176,66,0.00213068181818182,匀称、女王受、阳光
2,1,23,175,62,0.00202448979591837,猴子、暖男、阳光、闷骚
4,999,24,178,70,0.00220931700542861,匀称、爷们、阳光、暖男
2,2,39,180,90,0.00277777777777778,匀称、阳光、爷们、暖男
3,1,24,178,120,0.00378740058073476,熊、闷骚、阳光、暖男
1,2,23,175,62,0.00202448979591837,猴子、爷们、阳光、帝王攻
4,1,20,182,67,0.00202270257215312,猴子、匀称、找男友、阳光、暖男
4,999,23,173,63,0.00210498179023689,匀称、阳光、暖男
1,999,26,179,70,0.00218470085203333,匀称、闷骚、忠犬攻、暖男
1,1,33,181,73,0.00222825921064681,匀称、天然呆、爷们、腹黑、大叔
4,3,30,180,75,0.00231481481481481,肌肉、爷们
4,999,30,175,67,0.00218775510204082,匀称、爷们、阳光、大叔
1,1,45,173,74,0.00247251829329413,匀称、爷们、帝王攻、大叔
4,3,24,175,65,0.00212244897959184,999
4,2,39,176,85,0.00274405991735537,匀称、暖男、大叔、闷骚
2,3,24,175,55,0.00179591836734694,猴子、阳光
3,3,22,170,55,0.00190311418685121,匀称、暖男、闷骚、阳光、傲娇受
3,3,25,177,62,0.00197899709534297,猴子、闷骚、阳光
2,3,25,173,58,0.0019379197433927,匀称、暖男、阳光、腹黑
1,2,30,175,87,0.00284081632653061,熊、阳光、腹黑、暖男、大叔
4,2,23,180,65,0.00200617283950617,999
1,2,21,169,60,0.00210076677987465,匀称、暖男、闷骚
4,1,27,174,102,0.00336900515259612,熊、天然呆、暖男
1,2,21,175,60,0.00195918367346939,匀称
4,2,17,172,52,0.00175770686857761,匀称、傲娇受、阳光、闷骚
4,2,20,170,65,0.00224913494809689,匀称、阳光、暖男
2,1,20,175,58,0.00189387755102041,猴子、阳光
4,1,22,180,60,0.00185185185185185,匀称、小清新、阳光
1,2,26,180,73,0.00225308641975309,肌肉、爷们、暖男、天然呆、腹黑
4,3,33,172,62,0.00209572742022715,匀称、阳光、爷们
3,999,21,183,85,0.00253814685419093,熊、闷骚、天然呆、爷们、阳光
